Resortní identifikátor školy,Kód místa,Místo poskytovaného vzdìlávání,Resortní identifikátor právnické osoby,Kód oboru vzdìlání,Název oboru vzdìlání,Poèet žákù daného oboru
110010264,579025,Trutnov,600019829,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,308
110010264,579025,Trutnov,600019829,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,196
110010264,579025,Trutnov,600019829,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,0
110010264,579025,Trutnov,600019829,SNFO,Celkem v ostatních formách - poèet fyzických osob,47
110010264,579025,Trutnov,600019829,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
110010264,579025,Trutnov,600019829,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
110013387,569810,Hradec Králové,600023974,7862C01,Praktická škola jednoletá,6
110013387,569810,Hradec Králové,600023974,7862C02,Praktická škola dvouletá,10
110013387,569810,Hradec Králové,600023974,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,16
110013387,569810,Hradec Králové,600023974,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
110013450,569810,Hradec Králové,600024016,2951E01,Potravináøská výroba,2
110013450,569810,Hradec Králové,600024016,6551E01,Strav.a ubyt.služby,6
110013450,569810,Hradec Králové,600024016,2954H01,Cukráø,7
"110013450,569810,Hradec Králové,600024016,3342L51,""Nábytkáø.,døev.výroba"",4"
110013450,569810,Hradec Králové,600024016,3356H01,Truhláø,5
110013450,569810,Hradec Králové,600024016,3453L01,Reprod.grafik pro média,14
110013450,569810,Hradec Králové,600024016,6441L51,Podnikání,6
110013450,569810,Hradec Králové,600024016,6551H01,Kuchaø-èíšník,7
"110013450,569810,Hradec Králové,600024016,7531M01,""Pøedšk.,mimošk.pedagogika"",10"
110013450,569810,Hradec Králové,600024016,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,61
110013450,569810,Hradec Králové,600024016,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
110028881,574082,Hronov,691012431,2341M01,Strojírenství,62
110028881,574082,Hronov,691012431,2352H01,Nástrojaø,66
110028881,574082,Hronov,691012431,2368H01,Mechanik opraváø.mot.voz.,54
110028881,574082,Hronov,691012431,2641M01,Elektrotechnika,43
110028881,574082,Hronov,691012431,2651H01,Elektrikáø,32
110028881,573965,Èervený Kostelec,691012431,2852H01,Chemik,22
110028881,574082,Hronov,691012431,3157H01,Výrobce textilií,0
"110028881,547646,Velké Poøíèí,691012431,3452H01,""Tiskáø,polygr.stroje"",6"
"110028881,547646,Velké Poøíèí,691012431,3452H01,""Tiskáø,polygr.stroje"",43"
"110028881,547646,Velké Poøíèí,691012431,3452H01,""Tiskáø,polygr.stroje"",0"
110028881,547646,Velké Poøíèí,691012431,3452L01,Tiskaø na polygr.strojích,0
110028881,547646,Velké Poøíèí,691012431,3452L01,Tiskaø na polygr.strojích,14
110028881,547646,Velké Poøíèí,691012431,3453H01,Reprodukèní grafik,15
110028881,547646,Velké Poøíèí,691012431,3453L01,Reprod.grafik pro média,0
110028881,547646,Velké Poøíèí,691012431,3453L01,Reprod.grafik pro média,46
110028881,573965,Èervený Kostelec,691012431,6341M01,Ekonomika a podnikání,0
110028881,573965,Èervený Kostelec,691012431,6441L51,Podnikání,0
110028881,573965,Èervený Kostelec,691012431,6441L51,Podnikání,23
110028881,547646,Velké Poøíèí,691012431,6652H01,Aranžér,0
110028881,547646,Velké Poøíèí,691012431,6652H01,Aranžér,36
110028881,573965,Èervený Kostelec,691012431,6843M01,Veøejnosprávní èinnost,60
110028881,547646,Velké Poøíèí,691012431,6951H01,Kadeøník,0
110028881,547646,Velké Poøíèí,691012431,6951H01,Kadeøník,48
110028881,547646,Velké Poøíèí,691012431,8241M05,Grafický design,0
110028881,547646,Velké Poøíèí,691012431,8241M05,Grafický design,92
110028881,573965,Èervený Kostelec,691012431,8241M07,Modeláøství a návrh.odìvù,33
110028881,573965,Èervený Kostelec,691012431,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,0
110028881,573965,Èervený Kostelec,691012431,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,115
110028881,547646,Velké Poøíèí,691012431,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,300
110028881,574082,Hronov,691012431,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,257
110028881,573965,Èervený Kostelec,691012431,SNFO,Celkem v ostatních formách - poèet fyzických osob,23
110028881,547646,Velké Poøíèí,691012431,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
110028881,574082,Hronov,691012431,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
110030591,569810,Hradec Králové,600019772,5341M01,Zdravotnický asistent,193
110030591,569810,Hradec Králové,600019772,5341M03,Praktická sestra,59
110030591,569810,Hradec Králové,600019772,5343M01,Laboratorní asistent,57
110030591,569810,Hradec Králové,600019772,5344M03,Asistent zubního technika,62
110030591,569810,Hradec Králové,600019772,7842M04,Zdravotnické lyceum,232
110030591,569810,Hradec Králové,600019772,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,603
110030591,569810,Hradec Králové,600019772,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
110037791,579203,Dvùr Králové nad Labem,600013006,1820M01,Informaèní technologie,91
110037791,579203,Dvùr Králové nad Labem,600013006,2844M01,Aplikovaná chemie,55
110037791,579203,Dvùr Králové nad Labem,600013006,6542M01,Hotelnictví,37
110037791,579203,Dvùr Králové nad Labem,600013006,6542M02,Cestovní ruch,76
110037791,579203,Dvùr Králové nad Labem,600013006,6542M02,Cestovní ruch,21
110037791,579203,Dvùr Králové nad Labem,600013006,6842M01,Bezpeèn.právní èinnost,30
110037791,579203,Dvùr Králové nad Labem,600013006,6941L01,Kosmetické služby,88
110037791,579203,Dvùr Králové nad Labem,600013006,6951H01,Kadeøník,87
110037791,579203,Dvùr Králové nad Labem,600013006,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,318
110037791,579203,Dvùr Králové nad Labem,600013006,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,167
110037791,579203,Dvùr Králové nad Labem,600013006,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
110037791,579203,Dvùr Králové nad Labem,600013006,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
"110100867,569810,Hradec Králové,600011747,3342L51,""Nábytkáø.,døev.výroba"",8"
110100867,569810,Hradec Králové,600011747,3342M01,Nábyt.a døev.výroba,29
110100867,569810,Hradec Králové,600011747,3356H01,Truhláø,63
110100867,569810,Hradec Králové,600011747,8241M04,Prùmyslový design,44
110100867,569810,Hradec Králové,600011747,8241M11,Design interiéru,55
110100867,569810,Hradec Králové,600011747,8251H02,Umìlecký truhláø a øezbáø,0
110100867,569810,Hradec Králové,600011747,8251L02,Umìleckoøeme.zp.døeva,20
110100867,569810,Hradec Králové,600011747,8251L02,Umìleckoøeme.zp.døeva,60
110100867,569810,Hradec Králové,600011747,8251L06,Um.-øem.stavba hud.nástr.,10
110100867,569810,Hradec Králové,600011747,8251L06,Um.-øem.stavba hud.nástr.,26
110100867,569810,Hradec Králové,600011747,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,166
110100867,569810,Hradec Králové,600011747,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,149
110100867,569810,Hradec Králové,600011747,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
110100867,569810,Hradec Králové,600011747,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
110200039,573094,Láznì Bìlohrad,691012458,2356H01,Obrábìè kovù,18
110200039,573094,Láznì Bìlohrad,691012458,3667H01,Zedník,3
110200039,572926,Hoøice,691012458,4141M01,Agropodnikání,74
110200039,573094,Láznì Bìlohrad,691012458,4155H01,Opraváø zemìdìl.strojù,47
110200039,573094,Láznì Bìlohrad,691012458,5341H01,Ošetøovatel,24
110200039,572926,Hoøice,691012458,6341M02,Obchodní akademie,18
110200039,573094,Láznì Bìlohrad,691012458,6441L51,Podnikání,15
110200039,573094,Láznì Bìlohrad,691012458,6551H01,Kuchaø-èíšník,11
110200039,572926,Hoøice,691012458,7541M01,Sociální èinnost,89
110200039,572926,Hoøice,691012458,7842M05,Pøírodovìdné lyceum,17
110200039,572926,Hoøice,691012458,7941K81,Gymnázium,189
110200039,572926,Hoøice,691012458,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,91
110200039,573094,Láznì Bìlohrad,691012458,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,118
110200039,572926,Hoøice,691012458,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,278
110200039,572926,Hoøice,691012458,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,18
110200039,572926,Hoøice,691012458,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
110200039,573094,Láznì Bìlohrad,691012458,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
110200039,572926,Hoøice,691012458,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
110200039,572926,Hoøice,691012458,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
110200403,579025,Trutnov,610200381,1820M01,Informaèní technologie,181
110200403,579025,Trutnov,610200381,2341M01,Strojírenství,110
110200403,579025,Trutnov,610200381,2352H01,Nástrojaø,86
110200403,579025,Trutnov,610200381,2641M01,Elektrotechnika,85
110200403,579025,Trutnov,610200381,2651H01,Elektrikáø,122
110200403,579025,Trutnov,610200381,6441L51,Podnikání,30
110200403,579025,Trutnov,610200381,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,226
110200403,579025,Trutnov,610200381,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,207
110200403,579025,Trutnov,610200381,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,181
110200403,579025,Trutnov,610200381,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
110200403,579025,Trutnov,610200381,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
110200403,579025,Trutnov,610200381,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
130001732,573248,Nová Paka,600170802,2953H01,Pekaø,27
130001732,573248,Nová Paka,600170802,2954H01,Cukráø,87
130001732,573248,Nová Paka,600170802,3158H01,Krejèí,12
130001732,573248,Nová Paka,600170802,3356H01,Truhláø,31
130001732,573248,Nová Paka,600170802,6441L51,Podnikání,0
130001732,573248,Nová Paka,600170802,6441L51,Podnikání,7
130001732,573248,Nová Paka,600170802,6542M01,Hotelnictví,91
130001732,573248,Nová Paka,600170802,6551H01,Kuchaø-èíšník,80
130001732,573248,Nová Paka,600170802,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,328
130001732,573248,Nová Paka,600170802,SNFO,Celkem v ostatních formách - poèet fyzických osob,7
181007304,576069,Rychnov nad Knìžnou,600024300,7862C01,Praktická škola jednoletá,13
181007304,576069,Rychnov nad Knìžnou,600024300,7862C02,Praktická škola dvouletá,10
181007304,576069,Rychnov nad Knìžnou,600024300,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,23
181007304,576069,Rychnov nad Knìžnou,600024300,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
